NatWalkInd,Shape_Area
14.33333333,223726.285
6.5,440557.7835
9.666666667,7471120.14
6.166666667,13344086.64
10.0,1102068.908
12.5,3637985.692
13.0,249824.3796
11.83333333,4344601.968
12.33333333,319724.0366
17.66666667,182680.0464
16.0,227492.0587
14.33333333,471778.0806
7.833333333,2558182.914
4.833333333,5639634.04
11.16666667,2571606.071
13.5,973382.1151
10.16666667,1486152.747
5.833333333,811626.6878
5.666666667,7234997.775
6.333333333,6794166.683
6.166666667,1713189.028
4.666666667,16434322.21
5.0,7906028.202
6.5,1875888.291
11.83333333,882278.6469
15.66666667,118046.0353
2.333333333,345358.2184
13.5,363493.89
12.5,723746.9698
5.5,9136846.525
12.5,2826904.461
5.166666667,24835966.49
4.333333333,12337119.73
16.0,506863.5289
7.166666667,5203599.852
7.833333333,5485378.487
5.0,20230948.97
11.16666667,204524.2713
5.666666667,4966373.191
6.666666667,7496105.896
13.83333333,2728872.041
18.16666667,1585303.457
5.166666667,25810359.36
11.83333333,7437505.467
7.833333333,5598082.791
4.666666667,6591455.148
8.833333333,2972023.29
12.0,5116803.548
5.0,9472083.698
2.833333333,8981333.939
6.0,6251604.973
7.833333333,4835125.918
9.0,803672.3314
3.833333333,17481755.46
11.83333333,403905.9548
6.666666667,6892961.687
3.5,30898718.88
7.0,7543978.848
8.833333333,3602231.565
9.166666667,6597113.966
7.0,3378514.366
16.33333333,804347.4492
10.0,3060396.054
7.0,1032833.442
10.16666667,12428160.56
15.0,108029.8577
5.333333333,6785751.447
5.333333333,9754757.282
14.0,1041729.923
16.66666667,143316.3411
6.666666667,11314489.26
14.5,3048457.187
7.166666667,6737428.423
13.66666667,612656.1876
7.0,23744847.83
19.5,222282.611
6.333333333,7947972.433
6.833333333,4942300.736
14.33333333,1549274.927
11.83333333,1557714.127
16.5,864845.8836
13.0,1036719.109
18.0,353740.6423
17.83333333,343505.1619
9.666666667,456800.0311
11.33333333,1104063.317
11.66666667,679386.9498
4.166666667,1053449.032
18.0,175546.4188
19.66666667,1536983.129
14.66666667,944208.5117
3.666666667,53086603.86
18.0,118220.4208
16.66666667,80862.80292
8.333333333,10134566.44
5.166666667,15298396.88
15.16666667,95579.35634
13.0,283849.2851
13.5,788136.8654
14.5,137459.7699
5.5,2468261.815
12.0,277805.3676
18.16666667,208187.051
13.66666667,96842.62891
15.16666667,150857.3064
7.333333333,1803012.02
4.5,26104094.62
15.66666667,215575.2658
14.5,106865.9319
6.0,1544948.786
16.0,295189.9724
15.5,238769.9721
14.5,344413.6452
4.333333333,19725230.53
15.5,913287.3422
14.0,656394.8275
14.16666667,401862.067
11.0,813509.4478
13.33333333,555115.6323
9.166666667,4058624.233
7.0,460770.6148
13.5,707016.368
14.83333333,957103.7974
14.0,110148.0833
6.5,15286670.19
13.5,244348.838
7.833333333,4732150.315
7.5,7765126.605
13.83333333,261673.2929
14.0,290043.63
13.33333333,908237.7669
17.16666667,181899.6633
5.333333333,14482429.94
5.166666667,4440326.418
14.33333333,201239.1252
12.83333333,452617.3554
15.0,517253.3934
14.5,707440.5729
16.66666667,436777.1221
6.0,1117791.588
16.33333333,157690.6738
7.666666667,4616670.09
13.66666667,4080297.207
17.33333333,151111.8083
16.5,177275.677
8.0,8456489.455
14.16666667,121942.4536
15.0,222284.5065
16.66666667,125944.9628
13.5,399226.2956
16.33333333,195681.5893
4.0,3236417.221
2.666666667,242144.0766
4.833333333,21707715.02
14.33333333,199229.7183
